;"Brasília";"Campo Grande";"Cuiabá";"Goiânia";"Belo Horizonte";"Rio de Janeiro";"São Paulo";"Vitória";"Curitiba";"Florianópolis";"Porto Alegre";"Belém";"Boa Vista";"Macapá";"Manaus";"Palmas";"Porto Velho";"Rio Branco";"Aracaju";"Fortaleza";"João Pessoa";"Maceió";"Natal";"Recife";"Salvador";"São Luís";"Teresina";"Macaé"
"07-2017";405,40;382,17;395,04;386,67;383,69;425,62;445,83;409,51;399,00;439,87;453,56;388,67;372,23;365,49;361,44;369,41;385,17;332,06;364,27;400,67;361,41;371,38;358,15;361,65;357,28;367,59;382,63;380,57
"08-2017";396,54;355,09;375,96;386,81;365,05;410,43;431,66;397,89;385,11;426,30;445,76;375,82;377,45;359,61;357,97;;376,84;;353,85;389,35;351,08;374,75;336,12;340,54;332,10;352,36;;373,19
"09-2017";383,03;359,24;366,94;372,99;361,82;410,27;421,02;391,76;376,46;419,17;436,68;369,89;;;355,47;;;;344,16;370,46;334,86;355,20;323,90;328,63;318,52;338,38;;369,93
"10-2017";388,78;368,83;379,74;362,58;365,89;421,05;428,13;393,71;388,06;416,41;446,87;367,03;;;349,19;;;;340,37;367,61;330,38;346,26;325,09;325,96;318,31;337,37;;369,49
"11-2017";380,52;364,33;375,60;361,96;359,71;407,37;423,23;387,93;381,26;415,00;444,16;358,74;;;345,66;;;;341,09;363,92;324,90;347,77;328,21;327,85;315,98;333,14;;370,11
"12-2017";379,77;366,26;376,71;360,70;361,61;418,71;424,36;385,19;374,94;418,61;426,74;356,67;;;347,47;;;;340,02;367,45;329,52;349,40;331,18;332,15;316,65;334,13;;362,38
"01-2018";416,50;384,26;403,35;362,23;380,02;443,81;439,20;417,73;399,72;430,52;446,69;366,99;;;356,48;;;;349,97;387,61;368,76;;360,48;356,47;333,98;355,22;;
"02-2018";408,68;372,79;395,03;364,01;381,90;438,36;437,33;410,84;392,91;425,05;434,50;379,36;;;357,05;;;;341,59;395,47;354,15;;348,96;356,06;336,59;356,74;;376,20
"03-2018";404,60;382,47;398,54;360,43;378,13;441,19;437,84;410,59;401,65;426,79;434,70;367,06;;;358,28;;;;339,77;389,00;349,83;;343,26;342,46;322,88;353,16;;
"04-2018";402,31;378,40;391,56;365,81;376,58;440,06;434,80;409,80;394,07;426,73;430,29;366,19;;;360,65;;;;342,39;378,98;335,77;;337,67;333,11;325,42;345,33;;
"05-2018";404,65;398,14;395,49;366,65;375,11;446,03;441,16;409,95;397,17;441,62;437,73;367,56;;;357,71;;;;349,29;390,79;346,42;;341,18;336,36;327,56;349,98;;
"06-2018";413,02;380,18;425,32;365,81;373,92;445,58;451,63;413,73;412,44;425,30;452,81;381,65;;;367,89;;;;349,55;392,35;349,80;;351,11;355,93;333,00;358,71;;368,77
